lamda, distance, k_off, unbinding events
5, 2, 4.477528e+10, 1.06
5, 4, 1.222235e+10, 2.15
5, 8, 3.245642e+09, 2.45
5, 16, 8.093598e+08, 2.33
5, 32, 2.197853e+08, 2.45
5, 64, 5.478254e+07, 2.59
5, 128, 1.058041e+07, 2.21
5, 256, 2.249316e+06, 2.08
10, 2, 5.235705e+10, 1.10
10, 4, 1.275710e+10, 2.62
10, 8, 3.187231e+09, 3.26
10, 16, 8.502442e+08, 2.92
10, 32, 2.304312e+08, 2.87
10, 64, 5.240826e+07, 2.76
10, 128, 1.145265e+07, 2.87
10, 256, 2.604775e+06, 2.79
5, 2, 1.370309e+08, 1
5, 4, 1.555066e+08, 1.27
5, 8, 1.116509e+08, 1.22
5, 16, 1.044687e+08, 1.24
